guid,Country,Country Link,Capital,Capital Link,Flag,Map,Country:ru,Country Link:ru,Capital:ru,Capital Link:ru,Country:hr,tags
ga%B5?Me{z,Belgium,https://en.wikipedia.org/wiki/Belgium,Brussels,https://en.wikipedia.org/wiki/Brussels,"<img src=""Belgium (1).png"" />","<img src=""Belgium.png"" />",Бе́льгия,https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D1%8C%D0%B3%D0%B8%D1%8F,Брюссе́ль,https://ru.wikipedia.org/wiki/%D0%91%D1%80%D1%8E%D1%81%D1%81%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%B8%D0%B9_%D1%81%D1%82%D0%BE%D0%BB%D0%B8%D1%87%D0%BD%D1%8B%D0%B9_%D1%80%D0%B5%D0%B3%D0%B8%D0%BE%D0%BD,Belgija,Europe
o>Z6*OZg5_,Bosnia and Herzegovina,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina,Sarajevo,https://en.wikipedia.org/wiki/Sarajevo,"<img src=""Bosnia.png"" />","<img src=""Bosnia-and-Herzegovina.png"" />",Бо́сния и Герцегови́на,https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D1%81%D0%BD%D0%B8%D1%8F_%D0%B8_%D0%93%D0%B5%D1%80%D1%86%D0%B5%D0%B3%D0%BE%D0%B2%D0%B8%D0%BD%D0%B0,Сара́ево,https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D1%80%D0%B0%D0%B5%D0%B2%D0%BE,Bosna i Hercegovina,Europe
eVWAW&1c>b,Bulgaria,https://en.wikipedia.org/wiki/Bulgaria,Sofia,https://en.wikipedia.org/wiki/Sofia,"<img src=""Bulgaria (1).png"" />","<img src=""Bulgaria.png"" />",Болга́рия,https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D0%BB%D0%B3%D0%B0%D1%80%D0%B8%D1%8F,Софи́я,https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D1%84%D0%B8%D1%8F,Bugarska,Europe
bI);t8VonD,Croatia,https://en.wikipedia.org/wiki/Croatia,Zagreb,https://en.wikipedia.org/wiki/Zagreb,"<img src=""Croatia (1).png"" />","<img src=""Croatia.png"" />",Хорва́тия,https://ru.wikipedia.org/wiki/%D0%A5%D0%BE%D1%80%D0%B2%D0%B0%D1%82%D0%B8%D1%8F,За́греб,https://ru.wikipedia.org/wiki/%D0%97%D0%B0%D0%B3%D1%80%D0%B5%D0%B1,Hrvatska,Europe
ijITM`3fOy,Cyprus,https://en.wikipedia.org/wiki/Cyprus,Nicosia,https://en.wikipedia.org/wiki/Nicosia,"<img src=""Cyprus (1).png"" />","<img src=""Cyprus.png"" />",Ки́пр,https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D0%B8%D0%BA%D0%B0_%D0%9A%D0%B8%D0%BF%D1%80,Никоси́я,https://ru.wikipedia.org/wiki/%D0%9D%D0%B8%D0%BA%D0%BE%D1%81%D0%B8%D1%8F,Cipar,Europe
mS=;B0%G^:,Czech Republic,https://en.wikipedia.org/wiki/Czech_Republic,Prague,https://en.wikipedia.org/wiki/Prague,"<img src=""CzechRepublic.png"" />","<img src=""Czech-Republic.png"" />",Че́хия,https://ru.wikipedia.org/wiki/%D0%A7%D0%B5%D1%85%D0%B8%D1%8F,Пра́га,https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B0%D0%B3%D0%B0,Češka,Europe
s&#zDCRUQx,Denmark,https://en.wikipedia.org/wiki/Denmark,Copenhagen,https://en.wikipedia.org/wiki/Copenhagen,"<img src=""Denmark (1).png"" />","<img src=""Denmark.png"" />",Да́ния,https://ru.wikipedia.org/wiki/%D0%94%D0%B0%D0%BD%D0%B8%D1%8F,Копенга́ген,https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BF%D0%B5%D0%BD%D0%B3%D0%B0%D0%B3%D0%B5%D0%BD,Danska,Europe
h`!2MQfQLS,Estonia,https://en.wikipedia.org/wiki/Estonia,Tallinn,https://en.wikipedia.org/wiki/Tallinn,"<img src=""Estonia (1).png"" />","<img src=""Estonia.png"" />",Эсто́ния,https://ru.wikipedia.org/wiki/%D0%AD%D1%81%D1%82%D0%BE%D0%BD%D0%B8%D1%8F,Та́ллин,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BB%D0%BB%D0%B8%D0%BD,Estonija,Europe
rhtyaMdB5Y,Finland,https://en.wikipedia.org/wiki/Finland,Helsinki,https://en.wikipedia.org/wiki/Helsinki,"<img src=""Finland (1).png"" />","<img src=""Finland.png"" />",Финля́ндия,https://ru.wikipedia.org/wiki/%D0%A4%D0%B8%D0%BD%D0%BB%D1%8F%D0%BD%D0%B4%D0%B8%D1%8F,Хе́льсинки,https://ru.wikipedia.org/wiki/%D0%A5%D0%B5%D0%BB%D1%8C%D1%81%D0%B8%D0%BD%D0%BA%D0%B8,Finska,Europe
o_*jG)M|%],Georgia,https://en.wikipedia.org/wiki/Georgia_(country),Tbilisi,https://en.wikipedia.org/wiki/Tbilisi,"<img src=""Georgia (2).png"" />","<img src=""Georgia.png"" />",Гру́зия,https://ru.wikipedia.org/wiki/%D0%93%D1%80%D1%83%D0%B7%D0%B8%D1%8F,Тбили́си,https://ru.wikipedia.org/wiki/%D0%A2%D0%B1%D0%B8%D0%BB%D0%B8%D1%81%D0%B8,Gruzija,Europe
